player_hand,dealer_up_card,total_games,win_standing,push_standing,lost_standing,win_hitting,push_hitting,lost_hitting
2233,2,50000,17769,0,32231,28315,4456,17229
2233,3,50000,18762,0,31238,29016,4317,16667
2233,4,50000,20902,0,29098,30168,4033,15799
2233,5,50000,23537,0,26463,31744,3729,14527
2233,6,50000,22906,0,27094,32278,3711,14011
2233,7,50000,13618,0,36382,30026,3605,16369
2233,8,50000,12559,0,37441,28728,3573,17699
2233,9,50000,11764,0,38236,25789,4526,19685
2233,K,50000,10075,0,39925,19749,6996,23255
2233,A,50000,6276,0,43724,15607,5036,29357
2234,2,50000,17745,0,32255,30227,4343,15430
2234,3,50000,19149,0,30851,30962,4193,14845
2234,4,50000,21293,0,28707,31829,4006,14165
2234,5,50000,23621,0,26379,33298,3785,12917
2234,6,50000,23026,0,26974,33874,3493,12633
2234,7,50000,13689,0,36311,30766,3932,15302
2234,8,50000,12207,0,37793,28783,3965,17252
2234,9,50000,11994,0,38006,26981,3911,19108
2234,K,50000,10046,0,39954,23493,4909,21598
2234,A,50000,6291,0,43709,18078,8075,23847
2235,2,50000,18083,0,31917,17461,2335,30204
2235,3,50000,19282,0,30718,18014,2604,29382
2235,4,50000,21069,0,28931,18982,2267,28751
2235,5,50000,23564,0,26436,20307,2066,27627
2235,6,50000,23072,0,26928,20417,2038,27545
2235,7,50000,13408,0,36592,17560,2683,29757
2235,8,50000,12116,0,37884,15818,3048,31134
2235,9,50000,11732,0,38268,13909,3092,32999
2235,K,50000,9981,0,40019,12476,3318,34206
2235,A,50000,6340,0,43660,9034,3661,37305
2236,2,50000,18077,0,31923,15519,2546,31935
2236,3,50000,19292,0,30708,16350,2249,31401
2236,4,50000,21169,0,28831,17165,2145,30690
2236,5,50000,23489,0,26511,17872,1939,30189
2236,6,50000,22246,0,27754,17748,2099,30153
2236,7,50000,13203,0,36797,15882,2972,31146
2236,8,50000,12115,0,37885,14098,3095,32807
2236,9,50000,11517,0,38483,13754,2881,33365
2236,K,50000,9879,0,40121,11468,3311,35221
2236,A,50000,6639,0,43361,8218,3665,38117
2237,2,50000,18261,0,31739,13794,2470,33736
2237,3,50000,19002,0,30998,14298,2209,33493
2237,4,50000,20925,0,29075,14897,1880,33223
2237,5,50000,22974,0,27026,15148,1970,32882
2237,6,50000,22210,0,27790,15344,1953,32703
2237,7,50000,13178,0,36822,14348,2575,33077
2237,8,50000,12101,0,37899,13722,3040,33238
2237,9,50000,11579,0,38421,12266,3060,34674
2237,K,50000,10654,0,39346,10101,3189,36710
2237,A,50000,6476,0,43524,7663,3151,39186
2238,2,50000,18025,0,31975,13263,2144,34593
2238,3,50000,19115,0,30885,13123,2043,34834
2238,4,50000,20631,0,29369,13451,1941,34608
2238,5,50000,22397,0,27603,13877,1708,34415
2238,6,50000,22075,0,27925,14166,1807,34027
2238,7,50000,13270,0,36730,14829,2304,32867
2238,8,50000,11871,0,38129,13710,2525,33765
2238,9,50000,11920,0,38080,12058,2866,35076
2238,K,50000,10272,0,39728,10145,2986,36869
2238,A,50000,6432,0,43568,7634,3390,38976
2239,2,50000,17926,0,32074,11112,2036,36852
2239,3,50000,18331,0,31669,10738,2123,37139
2239,4,50000,20299,0,29701,10912,2037,37051
2239,5,50000,22432,0,27568,11226,1843,36931
2239,6,50000,21938,0,28062,12712,1802,35486
2239,7,50000,13120,0,36880,12524,2761,34715
2239,8,50000,12278,0,37722,12067,2205,35728
2239,9,50000,11995,0,38005,10802,2700,36498
2239,K,50000,10325,0,39675,8972,3006,38022
2239,A,50000,6362,0,43638,6781,3213,40006
223A,2,50000,24668,6278,19054,23134,3749,23117
223A,3,50000,25168,6461,18371,23705,3683,22612
223A,4,50000,26287,5618,18095,25906,3346,20748
223A,5,50000,27798,5346,16856,27270,3255,19475
223A,6,50000,30353,4133,15514,28124,2987,18889
223A,7,50000,33165,5717,11118,24797,4534,20669
223A,8,50000,18735,19261,12004,20053,7333,22614
223A,9,50000,17935,4976,27089,18441,3780,27779
223A,K,50000,16075,5534,28391,16007,3650,30343
223A,A,50000,11806,6069,32125,10771,4382,34847
223K,2,50000,17264,6992,25744,8792,1650,39558
223K,3,50000,18363,6378,25259,8723,1568,39709
223K,4,50000,20309,5616,24075,8669,1573,39758
223K,5,50000,22557,4852,22591,9938,1522,38540
223K,6,50000,21903,8436,19661,10401,1360,38239
223K,7,50000,13537,18594,17869,11274,1155,37571
223K,8,50000,12239,6492,31269,10144,2362,37494
223K,9,50000,11782,6211,32007,9101,1853,39046
223K,K,50000,10340,5798,33862,7869,2284,39847
223K,A,50000,6350,5921,37729,5677,2717,41606
2242,2,50000,17932,0,32068,28398,4509,17093
2242,3,50000,19138,0,30862,29197,4282,16521
2242,4,50000,20857,0,29143,30109,4020,15871
2242,5,50000,23482,0,26518,31838,3645,14517
2242,6,50000,23056,0,26944,32397,3573,14030
2242,7,50000,13651,0,36349,30184,3700,16116
2242,8,50000,12228,0,37772,28194,3605,18201
2242,9,50000,11835,0,38165,25963,4531,19506
2242,K,50000,10263,0,39737,19937,6923,23140
2242,A,50000,6304,0,43696,15865,4969,29166
2243,2,50000,17611,0,32389,29914,4371,15715
2243,3,50000,19222,0,30778,30850,4172,14978
2243,4,50000,21228,0,28772,31865,4017,14118
2243,5,50000,23623,0,26377,33433,3812,12755
2243,6,50000,23106,0,26894,33881,3457,12662
2243,7,50000,13717,0,36283,30810,3885,15305
2243,8,50000,12177,0,37823,28770,3935,17295
2243,9,50000,11755,0,38245,27122,3833,19045
2243,K,50000,9967,0,40033,23510,4832,21658
2243,A,50000,6207,0,43793,18049,8051,23900
2244,2,50000,17592,0,32408,17488,2526,29986
2244,3,50000,19777,0,30223,18202,2565,29233
2244,4,50000,21301,0,28699,19215,2506,28279
2244,5,50000,23391,0,26609,20224,2146,27630
2244,6,50000,23090,0,26910,20402,2219,27379
2244,7,50000,13698,0,36302,17859,3038,29103
2244,8,50000,11956,0,38044,15549,3285,31166
2244,9,50000,11773,0,38227,13996,3285,32719
2244,K,50000,9943,0,40057,12456,3475,34069
2244,A,50000,6408,0,43592,9084,3791,37125
2245,2,50000,18094,0,31906,15611,2504,31885
2245,3,50000,19628,0,30372,16420,2047,31533
2245,4,50000,21030,0,28970,17173,2066,30761
2245,5,50000,23669,0,26331,18014,1855,30131
2245,6,50000,23242,0,26758,18465,1845,29690
2245,7,50000,13447,0,36553,16035,2496,31469
2245,8,50000,11994,0,38006,14451,2596,32953
2245,9,50000,11854,0,38146,13691,3061,33248
2245,K,50000,10107,0,39893,11439,3219,35342
2245,A,50000,6307,0,43693,8520,3571,37909
2246,2,50000,18039,0,31961,13771,2551,33678
2246,3,50000,19615,0,30385,14303,2188,33509
2246,4,50000,21281,0,28719,14895,1906,33199
2246,5,50000,23629,0,26371,15645,1858,32497
2246,6,50000,22429,0,27571,15653,2034,32313
2246,7,50000,13304,0,36696,14030,2820,33150
2246,8,50000,11987,0,38013,13722,2765,33513
2246,9,50000,11598,0,38402,12316,3101,34583
2246,K,50000,9890,0,40110,10333,2882,36785
2246,A,50000,6697,0,43303,7599,3356,39045
2247,2,50000,18044,0,31956,12975,2097,34928
2247,3,50000,19564,0,30436,13272,2094,34634
2247,4,50000,21216,0,28784,13466,1955,34579
2247,5,50000,22859,0,27141,13895,1594,34511
2247,6,50000,22422,0,27578,14186,1765,34049
2247,7,50000,13249,0,36751,14552,2249,33199
2247,8,50000,11799,0,38201,13110,2834,34056
2247,9,50000,11397,0,38603,11791,2629,35580
2247,K,50000,10657,0,39343,9987,3032,36981
2247,A,50000,6590,0,43410,7607,3249,39144
2248,2,50000,17904,0,32096,11001,2081,36918
2248,3,50000,19340,0,30660,11113,2002,36885
2248,4,50000,20489,0,29511,10872,2037,37091
2248,5,50000,22733,0,27267,11241,1834,36925
2248,6,50000,22080,0,27920,12742,1791,35467
2248,7,50000,13030,0,36970,12729,2726,34545
2248,8,50000,11698,0,38302,11765,2282,35953
2248,9,50000,12065,0,37935,10446,2865,36689
2248,K,50000,10421,0,39579,8707,2723,38570
2248,A,50000,6495,0,43505,6679,3234,40087
