player_hand,dealer_up_card,total_games,win_standing,push_standing,lost_standing,win_hitting,push_hitting,lost_hitting
34,7,50000,13346,0,36654,14933,6494,28573
34,8,50000,11976,0,38024,12475,3655,33870
34,9,50000,11383,0,38617,11849,2510,35641
34,K,50000,10463,0,39537,10852,2289,36859
34,A,50000,6378,0,43622,6779,2441,40780
35,2,50000,18175,0,31825,21266,3174,25560
35,3,50000,19361,0,30639,22323,3045,24632
35,4,50000,21230,0,28770,24172,2767,23061
35,5,50000,22548,0,27452,25534,2816,21650
35,6,50000,22174,0,27826,25835,2886,21279
35,7,50000,13267,0,36733,21182,4241,24577
35,8,50000,11891,0,38109,16245,6797,26958
35,9,50000,11481,0,38519,14467,3725,31808
35,K,50000,10506,0,39494,12950,2719,34331
35,A,50000,6452,0,43548,9206,3079,37715
36,2,50000,18189,0,31811,24525,3750,21725
36,3,50000,19292,0,30708,25718,3467,20815
36,4,50000,20968,0,29032,27124,3527,19349
36,5,50000,22617,0,27383,28362,3274,18364
36,6,50000,21462,0,28538,28269,3068,18663
36,7,50000,13044,0,36956,25409,3684,20907
36,8,50000,12030,0,37970,22889,4320,22791
36,9,50000,11379,0,38621,17957,6881,25162
36,K,50000,10182,0,39818,15840,4188,29972
36,A,50000,6721,0,43279,12188,3473,34339
37,2,50000,17789,0,32211,28335,3991,17674
37,3,50000,19206,0,30794,29171,3844,16985
37,4,50000,21150,0,28850,30231,3810,15959
37,5,50000,21733,0,28267,31152,3342,15506
37,6,50000,21266,0,28734,31190,3535,15275
37,7,50000,13047,0,36953,28882,3203,17915
37,8,50000,11742,0,38258,27404,3514,19082
37,9,50000,11241,0,38759,24529,4328,21143
37,K,50000,10804,0,39196,20073,6495,23432
37,A,50000,6564,0,43436,15866,4752,29382
38,2,50000,17846,0,32154,29511,4018,16471
38,3,50000,19176,0,30824,30484,3819,15697
38,4,50000,20311,0,29689,30895,3795,15310
38,5,50000,21558,0,28442,31973,3593,14434
38,6,50000,21160,0,28840,32177,3335,14488
38,7,50000,12945,0,37055,28962,3749,17289
38,8,50000,11654,0,38346,27207,3636,19157
38,9,50000,11812,0,38188,26199,3316,20485
38,K,50000,10808,0,39192,23153,4395,22452
38,A,50000,6354,0,43646,17726,7712,24562
39,2,50000,17841,0,32159,17314,2358,30328
39,3,50000,18254,0,31746,17426,2431,30143
39,4,50000,20067,0,29933,18118,2301,29581
39,5,50000,21450,0,28550,18967,2091,28942
39,6,50000,21304,0,28696,19110,2093,28797
39,7,50000,12648,0,37352,16186,2843,30971
39,8,50000,12377,0,37623,14638,2951,32411
39,9,50000,11548,0,38452,12860,3057,34083
39,K,50000,10602,0,39398,12145,3036,34819
39,A,50000,6488,0,43512,8836,3231,37933
3A,2,50000,18160,0,31840,23280,2491,24229
3A,3,50000,19113,0,30887,24208,2189,23603
3A,4,50000,20848,0,29152,25200,1959,22841
3A,5,50000,21951,0,28049,26599,2047,21354
3A,6,50000,22128,0,27872,26725,2036,21239
3A,7,50000,13599,0,36401,21474,2525,26001
3A,8,50000,12391,0,37609,20311,2803,26886
3A,9,50000,11775,0,38225,18541,2992,28467
3A,K,50000,10698,0,39302,16248,3166,30586
3A,A,50000,6119,0,43881,11038,3454,35508
3K,2,50000,17224,0,32776,16120,2668,31212
3K,3,50000,18174,0,31826,16681,2307,31012
3K,4,50000,20356,0,29644,17417,2288,30295
3K,5,50000,21525,0,28475,17890,2246,29864
3K,6,50000,21087,0,28913,18353,2237,29410
3K,7,50000,13179,0,36821,16345,2983,30672
3K,8,50000,11975,0,38025,14786,3012,32202
3K,9,50000,11651,0,38349,13975,3148,32877
3K,K,50000,10657,0,39343,12330,3247,34423
3K,A,50000,6215,0,43785,8884,3602,37514
44,2,50000,17599,0,32401,21104,3306,25590
44,3,50000,19571,0,30429,22448,3043,24509
44,4,50000,21245,0,28755,24393,2636,22971
