player_hand,dealer_up_card,total_games,win_standing,push_standing,lost_standing,win_hitting,push_hitting,lost_hitting
22223A3AAA,K,50000,16308,5737,27955,2410,86,47504
22223A4AAA,3,50000,31753,6210,12037,0,0,50000
22223A4AAA,4,50000,31443,6616,11941,0,0,50000
22223A4AAA,5,50000,33148,5456,11396,0,0,50000
22223A4AAA,6,50000,33019,5622,11359,0,0,50000
22223A4AAA,7,50000,39253,2763,7984,0,0,50000
22223A4AAA,8,50000,41629,2287,6084,0,0,50000
22223A4AAA,9,50000,24631,21304,4065,0,0,50000
22223A4AAA,K,50000,22336,6253,21411,0,0,50000
22223A5AAA,3,50000,38052,6258,5690,0,0,50000
22223A5AAA,4,50000,37999,6164,5837,0,0,50000
22223A5AAA,5,50000,39651,4408,5941,0,0,50000
22223A5AAA,6,50000,38610,6277,5113,0,0,50000
22223A5AAA,7,50000,41579,4234,4187,0,0,50000
22223A5AAA,8,50000,44048,2418,3534,0,0,50000
22223A5AAA,9,50000,45960,2133,1907,0,0,50000
22223A5AAA,K,50000,28719,19705,1576,0,0,50000
22223AA33A,3,50000,37932,6171,5897,1006,141,48853
22223AA33A,4,50000,37614,6392,5994,1099,149,48752
22223AA33A,5,50000,38279,5747,5974,1120,156,48724
22223AA33A,6,50000,37605,6283,6112,1062,152,48786
22223AA33A,7,50000,42363,3393,4244,1097,104,48799
22223AA33A,8,50000,44852,2348,2800,1127,64,48809
22223AA33A,9,50000,44532,3401,2067,1181,52,48767
22223AA33A,K,50000,27330,19887,2783,1159,30,48811
22223AA33A,A,50000,21685,6856,21459,0,0,50000
22223AA3A3,3,50000,37910,6339,5751,1110,130,48760
22223AA3A3,4,50000,37621,6309,6070,1028,148,48824
22223AA3A3,5,50000,38289,5631,6080,1081,154,48765
22223AA3A3,6,50000,37548,6362,6090,1072,135,48793
22223AA3A3,7,50000,42148,3457,4395,1134,122,48744
22223AA3A3,8,50000,44838,2318,2844,1141,79,48780
22223AA3A3,9,50000,44540,3481,1979,1161,51,48788
22223AA3A3,K,50000,27196,19892,2912,1185,47,48768
22223AA3A3,A,50000,21921,6882,21197,0,0,50000
22223AA3AA,3,50000,25399,6449,18152,1116,144,48740
22223AA3AA,4,50000,25900,5600,18500,2156,288,47556
22223AA3AA,5,50000,27281,4922,17797,2135,312,47553
22223AA3AA,6,50000,29701,2860,17439,2144,309,47547
22223AA3AA,7,50000,36735,2249,11016,2327,219,47454
22223AA3AA,8,50000,20498,21388,8114,2196,155,47649
22223AA3AA,9,50000,18912,5305,25783,2381,85,47534
22223AA3AA,K,50000,16217,5821,27962,2358,71,47571
22223AA4AA,3,50000,31812,6185,12003,0,0,50000
22223AA4AA,4,50000,31628,6445,11927,0,0,50000
22223AA4AA,5,50000,33237,5468,11295,0,0,50000
22223AA4AA,6,50000,33023,5569,11408,0,0,50000
22223AA4AA,7,50000,39286,2738,7976,0,0,50000
22223AA4AA,8,50000,41598,2430,5972,0,0,50000
22223AA4AA,9,50000,24479,21350,4171,0,0,50000
