player_hand,dealer_up_card,total_games,win_standing,push_standing,lost_standing,win_hitting,push_hitting,lost_hitting
22245A3A,4,0,50000,37792,6134,6074,1994,315,47691
22245A3A,5,0,50000,39423,4742,5835,2078,254,47668
22245A3A,6,0,50000,40059,4952,4989,2044,255,47701
22245A3A,7,0,50000,42813,3739,3448,2123,181,47696
22245A3A,8,0,50000,44191,2455,3354,2081,185,47734
22245A3A,9,0,50000,43551,4171,2278,2251,112,47637
22245A3A,K,0,50000,27329,18851,3820,2103,111,47786
22245A3A,A,0,50000,23015,6484,20501,633,485,48882
22245AA2,3,0,50000,31234,6401,12365,1727,307,47966
22245AA2,4,0,50000,32223,5526,12251,1761,278,47961
22245AA2,5,0,50000,33827,5556,10617,1796,177,48027
22245AA2,6,0,50000,34244,5934,9822,1822,233,47945
22245AA2,7,0,50000,39537,2711,7752,2007,210,47783
22245AA2,8,0,50000,39542,4548,5910,2018,99,47883
22245AA2,9,0,50000,23437,20551,6012,2089,141,47770
22245AA2,K,0,50000,21041,5992,22967,1382,913,47705
22245AA2,A,0,50000,16883,6259,26858,521,152,49327
22245AA3,2,0,50000,37438,6340,6222,1954,271,47775
22245AA3,3,0,50000,37729,6364,5907,2011,268,47721
22245AA3,4,0,50000,37759,6156,6085,2061,280,47659
22245AA3,5,0,50000,39455,4689,5856,2087,278,47635
22245AA3,6,0,50000,40145,4953,4902,2113,205,47682
22245AA3,7,0,50000,42699,3729,3572,2169,164,47667
22245AA3,8,0,50000,44162,2472,3366,2142,147,47711
22245AA3,9,0,50000,43626,4145,2229,2303,93,47604
22245AA3,K,0,50000,27317,18855,3828,2146,144,47710
22245AA3,A,0,50000,22923,6442,20635,669,500,48831
22245AAA,2,0,50000,24553,6392,19055,4767,733,44500
22245AAA,3,0,50000,25447,5735,18818,4624,718,44658
22245AAA,4,0,50000,27756,4635,17609,5720,828,43452
22245AAA,5,0,50000,28171,6240,15589,5952,776,43272
22245AAA,6,0,50000,30497,3777,15726,5863,730,43407
22245AAA,7,0,50000,35438,3603,10959,6229,478,43293
22245AAA,8,0,50000,19340,20763,9897,6303,423,43274
22245AAA,9,0,50000,18610,5341,26049,6139,776,43085
22245AAA,K,0,50000,16469,5643,27888,5518,826,43656
22245AAA,A,0,50000,10704,5958,33338,3246,2044,44710
222462AA,3,0,50000,37326,6413,6261,2115,287,47598
222462AA,4,0,50000,38570,5458,5972,2090,253,47657
222462AA,5,0,50000,39435,5275,5290,2051,247,47702
222462AA,6,0,50000,39376,4963,5661,2037,255,47708
222462AA,7,0,50000,42268,4148,3584,2163,152,47685
222462AA,8,0,50000,44131,2218,3651,2173,157,47670
222462AA,9,0,50000,44004,4120,1876,2208,81,47711
222462AA,K,0,50000,27245,18872,3883,2200,143,47657
222462AA,A,0,50000,22764,6633,20603,690,488,48822
22246A2A,3,0,50000,37794,6184,6022,2049,271,47680
22246A2A,4,0,50000,38639,5373,5988,2106,280,47614
22246A2A,5,0,50000,39535,5367,5098,2100,237,47663
22246A2A,6,0,50000,39494,4989,5517,2088,237,47675
22246A2A,7,0,50000,42314,4096,3590,2116,173,47711
22246A2A,8,0,50000,44108,2183,3709,2175,166,47659
22246A2A,9,0,50000,43829,4282,1889,2200,85,47715
22246A2A,K,0,50000,27219,18933,3848,2248,129,47623
22246A2A,A,0,50000,22902,6488,20610,684,483,48833
22246AA2,3,0,50000,37631,6331,6038,2066,295,47639
22246AA2,4,0,50000,38595,5499,5906,2056,271,47673
22246AA2,5,0,50000,39607,5333,5060,2029,227,47744
22246AA2,6,0,50000,39417,5068,5515,2047,223,47730
22246AA2,7,0,50000,42157,4187,3656,2152,189,47659
22246AA2,8,0,50000,44080,2225,3695,2183,174,47643
22246AA2,9,0,50000,43823,4374,1803,2196,102,47702
22246AA2,K,0,50000,27235,18898,3867,2200,145,47655
22246AA2,A,0,50000,22794,6615,20591,690,453,48857
22246AAA,2,0,50000,31063,6674,12263,920,170,48910
22246AAA,3,0,50000,32363,5415,12222,1877,316,47807
22246AAA,4,0,50000,32560,6261,11179,1964,278,47758
22246AAA,5,0,50000,34520,5302,10178,1900,210,47890
22246AAA,6,0,50000,33420,6274,10306,1967,251,47782
22246AAA,7,0,50000,39103,3128,7769,2034,175,47791
22246AAA,8,0,50000,40038,3562,6400,2052,172,47776
22246AAA,9,0,50000,24059,20402,5539,2170,86,47744
22246AAA,K,0,50000,22242,6139,21619,1755,521,47724
22246AAA,A,0,50000,16274,6566,27160,720,478,48802
22247AAA,2,0,50000,37401,6191,6408,1044,152,48804
22247AAA,3,0,50000,38660,5481,5859,1039,158,48803
22247AAA,4,0,50000,38766,5972,5262,1041,119,48840
22247AAA,5,0,50000,39264,5146,5590,1046,127,48827
22247AAA,6,0,50000,39370,5008,5622,1037,124,48839
22247AAA,7,0,50000,42121,4203,3676,1132,87,48781
22247AAA,8,0,50000,43579,2612,3809,1043,92,48865
22247AAA,9,0,50000,44443,3270,2287,1048,59,48893
22247AAA,K,0,50000,28170,18961,2869,1109,40,48851
22247AAA,A,0,50000,22812,6709,20479,0,0,50000
2225233A,3,0,50000,37477,6403,6120,3064,420,46516
2225233A,4,0,50000,37574,6217,6209,3056,442,46502
2225233A,5,0,50000,38941,5136,5923,2988,420,46592
2225233A,6,0,50000,39254,5752,4994,3034,353,46613
2225233A,7,0,50000,42654,3375,3971,3164,278,46558
2225233A,8,0,50000,44930,2124,2946,3230,216,46554
2225233A,9,0,50000,42789,5445,1766,3320,132,46548
2225233A,K,0,50000,26437,18663,4900,3224,261,46515
2225233A,A,0,50000,23020,6701,20279,1376,917,47707
222523A3,3,0,50000,37442,6593,5965,3037,392,46571
222523A3,4,0,50000,37314,6375,6311,3038,462,46500
222523A3,5,0,50000,38922,5214,5864,3140,435,46425
222523A3,6,0,50000,39337,5787,4876,3088,387,46525
222523A3,7,0,50000,42408,3548,4044,3093,270,46637
222523A3,8,0,50000,44930,2125,2945,3306,218,46476
222523A3,9,0,50000,42695,5533,1772,3406,117,46477
222523A3,K,0,50000,26349,18783,4868,3327,265,46408
222523A3,A,0,50000,23263,6468,20269,1367,925,47708
222523AA,3,0,50000,25553,5720,18727,3575,558,45867
222523AA,4,0,50000,26775,5569,17656,4549,652,44799
222523AA,5,0,50000,27980,5241,16779,4615,720,44665
222523AA,6,0,50000,31396,2582,16022,4661,563,44776
222523AA,7,0,50000,35023,4441,10536,5003,407,44590
222523AA,8,0,50000,19464,20536,10000,5099,371,44530
222523AA,9,0,50000,18539,5007,26454,4422,1071,44507
222523AA,K,0,50000,15598,5536,28866,4304,552,45144
222523AA,A,0,50000,10844,6005,33151,2440,1554,46006
222524AA,3,0,50000,31451,6357,12192,1796,304,47900
222524AA,4,0,50000,32296,5578,12126,1790,283,47927
222524AA,5,0,50000,33885,5627,10488,1779,214,48007
222524AA,6,0,50000,34317,5936,9747,1866,223,47911
222524AA,7,0,50000,39614,2683,7703,1957,195,47848
222524AA,8,0,50000,39641,4535,5824,1940,107,47953
222524AA,9,0,50000,23411,20476,6113,2067,119,47814
222524AA,K,0,50000,21232,6100,22668,1303,897,47800
222524AA,A,0,50000,16910,6262,26828,533,157,49310
222525AA,3,0,50000,37587,6613,5800,2031,283,47686
222525AA,4,0,50000,37702,6018,6280,2019,284,47697
222525AA,5,0,50000,40379,3905,5716,2094,283,47623
222525AA,6,0,50000,40291,5743,3966,2129,189,47682
222525AA,7,0,50000,42192,4004,3804,2187,180,47633
222525AA,8,0,50000,44262,2062,3676,2142,201,47657
222525AA,9,0,50000,44106,4139,1755,2247,81,47672
222525AA,K,0,50000,27456,18870,3674,2206,124,47670
222525AA,A,0,50000,23150,6314,20536,686,463,48851
22252A33,3,0,50000,37322,6550,6128,3049,413,46538
22252A33,4,0,50000,37387,6297,6316,2953,404,46643
22252A33,5,0,50000,39214,5050,5736,3094,404,46502
22252A33,6,0,50000,39061,5969,4970,3184,342,46474
22252A33,7,0,50000,42550,3410,4040,3303,286,46411
22252A33,8,0,50000,44971,2131,2898,3337,215,46448
22252A33,9,0,50000,42765,5439,1796,3353,129,46518
22252A33,K,0,50000,26293,18709,4998,3182,258,46560
22252A33,A,0,50000,23026,6469,20505,1346,955,47699
22252A3A,3,0,50000,25786,5679,18535,3505,576,45919
22252A3A,4,0,50000,26618,5446,17936,4591,685,44724
22252A3A,5,0,50000,27824,5303,16873,4716,734,44550
22252A3A,6,0,50000,31461,2622,15917,4702,627,44671
22252A3A,7,0,50000,35004,4581,10415,5021,414,44565
22252A3A,8,0,50000,19445,20501,10054,5149,364,44487
22252A3A,9,0,50000,18646,4979,26375,4435,1089,44476
22252A3A,K,0,50000,15874,5431,28695,4269,551,45180
22252A3A,A,0,50000,10894,6039,33067,2398,1681,45921
22252A4A,3,0,50000,31440,6302,12258,1840,304,47856
22252A4A,4,0,50000,32209,5612,12179,1756,302,47942
22252A4A,5,0,50000,33927,5585,10488,1900,224,47876
22252A4A,6,0,50000,34081,6008,9911,1897,243,47860
22252A4A,7,0,50000,39751,2689,7560,1915,195,47890
22252A4A,8,0,50000,39616,4467,5917,1983,105,47912
22252A4A,9,0,50000,23509,20452,6039,2072,151,47777
22252A4A,K,0,50000,21331,6038,22631,1291,887,47822
22252A4A,A,0,50000,16989,6135,26876,502,158,49340
22252A5A,3,0,50000,37774,6440,5786,2112,265,47623
22252A5A,4,0,50000,37942,5991,6067,2106,282,47612
22252A5A,5,0,50000,40285,3964,5751,2090,257,47653
22252A5A,6,0,50000,40342,5714,3944,2096,215,47689
22252A5A,7,0,50000,42063,4082,3855,2139,191,47670
22252A5A,8,0,50000,44281,2109,3610,2099,180,47721
22252A5A,9,0,50000,44082,4211,1707,2267,74,47659
22252A5A,K,0,50000,27235,19012,3753,2207,116,47677
22252A5A,A,0,50000,23220,6283,20497,666,478,48856
22252AA3,3,0,50000,25608,5709,18683,3487,575,45938
22252AA3,4,0,50000,26643,5519,17838,4564,677,44759
22252AA3,5,0,50000,28080,5312,16608,4599,723,44678
22252AA3,6,0,50000,31229,2656,16115,4741,600,44659
22252AA3,7,0,50000,35001,4484,10515,5044,452,44504
22252AA3,8,0,50000,19424,20521,10055,5246,363,44391
22252AA3,9,0,50000,18614,4951,26435,4391,1080,44529
22252AA3,K,0,50000,15782,5522,28696,4213,549,45238
22252AA3,A,0,50000,10886,6012,33102,2367,1583,46050
22252AA4,3,0,50000,31213,6356,12431,1831,327,47842
22252AA4,4,0,50000,32020,5596,12384,1775,281,47944
22252AA4,5,0,50000,33920,5509,10571,1877,230,47893
22252AA4,6,0,50000,34193,6098,9709,1844,225,47931
22252AA4,7,0,50000,39605,2687,7708,1938,193,47869
22252AA4,8,0,50000,39659,4487,5854,2099,93,47808
22252AA4,9,0,50000,23200,20717,6083,2100,140,47760
22252AA4,K,0,50000,21443,6030,22527,1259,892,47849
22252AA4,A,0,50000,17190,6251,26559,563,164,49273
22252AA5,3,0,50000,37734,6534,5732,2045,264,47691
22252AA5,4,0,50000,37941,5957,6102,2025,285,47690
22252AA5,5,0,50000,40214,3896,5890,2019,272,47709
22252AA5,6,0,50000,40226,5682,4092,2122,209,47669
22252AA5,7,0,50000,42057,4120,3823,2129,177,47694
22252AA5,8,0,50000,44239,2136,3625,2107,171,47722
22252AA5,9,0,50000,44068,4247,1685,2191,75,47734
22252AA5,K,0,50000,27367,18970,3663,2225,130,47645
22252AA5,A,0,50000,23250,6278,20472,680,473,48847
22252AAA,3,0,50000,19730,0,30270,9314,1480,39206
22252AAA,4,0,50000,20962,0,29038,9048,1562,39390
22252AAA,5,0,50000,24199,0,25801,9473,1320,39207
22252AAA,6,0,50000,26088,0,23912,10798,1281,37921
22252AAA,7,0,50000,14467,0,35533,11172,1379,37449
22252AAA,8,0,50000,13237,0,36763,11481,909,37610
22252AAA,9,0,50000,13213,0,36787,10095,2471,37434
22252AAA,K,0,50000,10651,0,39349,8225,2670,39105
22252AAA,A,0,50000,5021,0,44979,5793,2642,41565
2225323A,3,0,50000,37483,6520,5997,3021,418,46561
2225323A,4,0,50000,37403,6254,6343,3007,447,46546
2225323A,5,0,50000,38844,5250,5906,3061,439,46500
2225323A,6,0,50000,39261,5785,4954,3210,348,46442
2225323A,7,0,50000,42603,3491,3906,3136,276,46588
2225323A,8,0,50000,44942,2091,2967,3315,214,46471
2225323A,9,0,50000,42798,5417,1785,3320,123,46557
2225323A,K,0,50000,26300,18865,4835,3241,270,46489
2225323A,A,0,50000,22891,6441,20668,1352,949,47699
222532A3,3,0,50000,37435,6540,6025,3040,411,46549
222532A3,4,0,50000,37346,6394,6260,3011,430,46559
222532A3,5,0,50000,39045,5118,5837,3052,401,46547
222532A3,6,0,50000,39318,5739,4943,3107,368,46525
222532A3,7,0,50000,42583,3385,4032,3222,259,46519
222532A3,8,0,50000,44856,2176,2968,3254,231,46515
222532A3,9,0,50000,42914,5350,1736,3414,133,46453
222532A3,K,0,50000,26279,18861,4860,3218,257,46525
222532A3,A,0,50000,23043,6613,20344,1347,934,47719
222532AA,3,0,50000,25767,5657,18576,3621,570,45809
222532AA,4,0,50000,26476,5498,18026,4569,697,44734
222532AA,5,0,50000,27907,5324,16769,4655,691,44654
222532AA,6,0,50000,31472,2643,15885,4688,573,44739
222532AA,7,0,50000,34995,4529,10476,4925,389,44686
222532AA,8,0,50000,19535,20206,10259,5216,350,44434
222532AA,9,0,50000,18515,4834,26651,4495,1080,44425
222532AA,K,0,50000,15579,5600,28821,4191,555,45254
222532AA,A,0,50000,10802,5874,33324,2347,1642,46011
2225332A,3,0,50000,37564,6438,5998,3025,437,46538
2225332A,4,0,50000,37517,6148,6335,2964,446,46590
2225332A,5,0,50000,38811,5137,6052,3117,451,46432
2225332A,6,0,50000,39179,5752,5069,3120,335,46545
2225332A,7,0,50000,42558,3501,3941,3260,272,46468
2225332A,8,0,50000,44846,2163,2991,3267,214,46519
2225332A,9,0,50000,43031,5290,1679,3459,90,46451
2225332A,K,0,50000,26468,18580,4952,3253,270,46477
2225332A,A,0,50000,23162,6515,20323,1340,974,47686
222533A2,3,0,50000,37523,6436,6041,3050,433,46517
222533A2,4,0,50000,37462,6264,6274,3065,431,46504
222533A2,5,0,50000,38930,5242,5828,3059,391,46550
222533A2,6,0,50000,39186,5788,5026,3120,345,46535
222533A2,7,0,50000,42653,3404,3943,3255,302,46443
222533A2,8,0,50000,44976,2102,2922,3162,216,46622
222533A2,9,0,50000,42906,5342,1752,3353,125,46522
222533A2,K,0,50000,26368,18772,4860,3140,259,46601
222533A2,A,0,50000,23139,6553,20308,1348,1009,47643
222533AA,2,0,50000,30724,6701,12575,1765,304,47931
222533AA,3,0,50000,31382,6217,12401,2835,414,46751
222533AA,4,0,50000,31940,5692,12368,2765,415,46820
222533AA,5,0,50000,33196,6091,10713,2852,347,46801
222533AA,6,0,50000,34772,4451,10777,2893,441,46666
222533AA,7,0,50000,39693,2920,7387,3075,275,46650
222533AA,8,0,50000,39955,4514,5531,3169,187,46644
222533AA,9,0,50000,23280,20234,6486,3213,195,46592
222533AA,K,0,50000,21083,6022,22895,2401,992,46607
222533AA,A,0,50000,16886,6092,27022,1223,623,48154
222534AA,2,0,50000,37652,6276,6072,2014,267,47719
222534AA,3,0,50000,37650,6348,6002,2049,292,47659
222534AA,4,0,50000,37683,6168,6149,2007,258,47735
222534AA,5,0,50000,39251,4789,5960,2080,267,47653
222534AA,6,0,50000,40338,4829,4833,2088,249,47663
222534AA,7,0,50000,42629,3729,3642,2130,159,47711
222534AA,8,0,50000,44214,2466,3320,2138,179,47683
222534AA,9,0,50000,43489,4321,2190,2145,110,47745
222534AA,K,0,50000,27303,18789,3908,2188,126,47686
222534AA,A,0,50000,23142,6388,20470,692,484,48824
22253A23,3,0,50000,37601,6427,5972,3191,387,46422
22253A23,4,0,50000,37483,6252,6265,3212,409,46379
22253A23,5,0,50000,39050,5060,5890,3010,414,46576
22253A23,6,0,50000,39376,5718,4906,3182,356,46462
22253A23,7,0,50000,42572,3522,3906,3203,275,46522
22253A23,8,0,50000,44905,2175,2920,3239,217,46544
22253A23,9,0,50000,42759,5452,1789,3401,124,46475
22253A23,K,0,50000,26366,18751,4883,3295,263,46442
22253A23,A,0,50000,23169,6418,20413,1341,996,47663
22253A2A,3,0,50000,25793,5624,18583,3499,549,45952
22253A2A,4,0,50000,26391,5594,18015,4516,733,44751
22253A2A,5,0,50000,27495,5365,17140,4594,719,44687
22253A2A,6,0,50000,31366,2593,16041,4537,577,44886
22253A2A,7,0,50000,35188,4473,10339,5006,419,44575
22253A2A,8,0,50000,19618,20273,10109,5237,416,44347
22253A2A,9,0,50000,18432,4901,26667,4627,1142,44231
22253A2A,K,0,50000,15692,5496,28812,4105,500,45395
22253A2A,A,0,50000,10844,5933,33223,2411,1527,46062
22253A32,3,0,50000,37440,6495,6065,3119,416,46465
22253A32,4,0,50000,37411,6162,6427,3020,402,46578
22253A32,5,0,50000,38996,5112,5892,3062,433,46505
22253A32,6,0,50000,39231,5846,4923,3108,368,46524
22253A32,7,0,50000,42486,3539,3975,3194,296,46510
22253A32,8,0,50000,44960,2190,2850,3203,197,46600
22253A32,9,0,50000,42786,5427,1787,3409,116,46475
22253A32,K,0,50000,26466,18487,5047,3217,263,46520
22253A32,A,0,50000,22972,6510,20518,1350,955,47695
22253A3A,2,0,50000,30918,6755,12327,1735,306,47959
22253A3A,3,0,50000,31411,6308,12281,2892,462,46646
22253A3A,4,0,50000,32026,5665,12309,2751,431,46818
22253A3A,5,0,50000,33366,6025,10609,2850,385,46765
22253A3A,6,0,50000,34846,4408,10746,2845,407,46748
22253A3A,7,0,50000,39587,2967,7446,3110,262,46628
22253A3A,8,0,50000,39855,4519,5626,3165,190,46645
22253A3A,9,0,50000,22930,20487,6583,3179,172,46649
22253A3A,K,0,50000,21290,6014,22696,2355,970,46675
22253A3A,A,0,50000,16824,6215,26961,1218,672,48110
22253A4A,2,0,50000,37567,6256,6177,2064,282,47654
22253A4A,3,0,50000,37808,6234,5958,2079,279,47642
22253A4A,4,0,50000,37544,6173,6283,2056,278,47666
22253A4A,5,0,50000,39424,4757,5819,2157,289,47554
22253A4A,6,0,50000,40100,5001,4899,2113,216,47671
22253A4A,7,0,50000,42800,3663,3537,2062,180,47758
22253A4A,8,0,50000,44001,2578,3421,2211,169,47620
22253A4A,9,0,50000,43621,4203,2176,2179,93,47728
22253A4A,K,0,50000,27474,18610,3916,2170,138,47692
22253A4A,A,0,50000,23059,6453,20488,656,496,48848
22253AA2,3,0,50000,25753,5704,18543,3531,528,45941
22253AA2,4,0,50000,26542,5528,17930,4534,731,44735
22253AA2,5,0,50000,27714,5296,16990,4631,730,44639
22253AA2,6,0,50000,31407,2675,15918,4796,621,44583
22253AA2,7,0,50000,34742,4574,10684,5126,407,44467
22253AA2,8,0,50000,19538,20385,10077,5133,369,44498
22253AA2,9,0,50000,18468,4758,26774,4491,1104,44405
22253AA2,K,0,50000,15857,5554,28589,4253,521,45226
22253AA2,A,0,50000,10871,6033,33096,2450,1501,46049
22253AA3,2,0,50000,30957,6705,12338,1684,285,48031
22253AA3,3,0,50000,31349,6284,12367,2895,417,46688
22253AA3,4,0,50000,32036,5660,12304,2739,412,46849
22253AA3,5,0,50000,33266,6110,10624,2851,354,46795
22253AA3,6,0,50000,34843,4429,10728,2883,406,46711
22253AA3,7,0,50000,39564,2928,7508,3045,259,46696
22253AA3,8,0,50000,39925,4402,5673,3190,195,46615
22253AA3,9,0,50000,23271,20358,6371,3120,200,46680
22253AA3,K,0,50000,21355,5922,22723,2396,978,46626
22253AA3,A,0,50000,16870,6112,27018,1159,637,48204
22253AA4,2,0,50000,37458,6256,6286,1983,303,47714
22253AA4,3,0,50000,37569,6396,6035,2097,260,47643
22253AA4,4,0,50000,37540,6301,6159,2017,298,47685
22253AA4,5,0,50000,39427,4751,5822,2168,292,47540
22253AA4,6,0,50000,40235,4894,4871,2116,238,47646
22253AA4,7,0,50000,42649,3676,3675,2150,182,47668
22253AA4,8,0,50000,44285,2421,3294,2091,154,47755
22253AA4,9,0,50000,43570,4235,2195,2213,103,47684
22253AA4,K,0,50000,27415,18683,3902,2212,109,47679
22253AA4,A,0,50000,23144,6418,20438,716,461,48823
22253AAA,2,0,50000,18961,5625,25414,7340,1207,41453
22253AAA,3,0,50000,19645,6313,24042,7214,1134,41652
22253AAA,4,0,50000,21520,5411,23069,6976,1116,41908
22253AAA,5,0,50000,24363,3612,22025,8272,1164,40564
22253AAA,6,0,50000,26036,4297,19667,8329,1087,40584
22253AAA,7,0,50000,14660,20631,14709,9075,702,40223
22253AAA,8,0,50000,13324,6498,30178,8859,1047,40094
22253AAA,9,0,50000,13064,5855,31081,8565,1085,40350
22253AAA,K,0,50000,10628,5487,33885,7252,1967,40781
22253AAA,A,0,50000,5136,5468,39396,4663,2561,42776
222542AA,3,0,50000,31326,6377,12297,1736,300,47964
222542AA,4,0,50000,32235,5553,12212,1717,281,48002
222542AA,5,0,50000,33930,5545,10525,1819,209,47972
222542AA,6,0,50000,34191,5932,9877,1874,258,47868
222542AA,7,0,50000,39488,2827,7685,2023,209,47768
222542AA,8,0,50000,39459,4644,5897,2073,106,47821
222542AA,9,0,50000,23479,20524,5997,2091,147,47762
222542AA,K,0,50000,21430,6056,22514,1385,878,47737
222542AA,A,0,50000,16827,6116,27057,549,156,49295
222543AA,2,0,50000,37608,6245,6147,2095,280,47625
222543AA,3,0,50000,37548,6435,6017,2015,291,47694
222543AA,4,0,50000,37544,6282,6174,2040,306,47654
222543AA,5,0,50000,39525,4670,5805,2000,298,47702
222543AA,6,0,50000,39979,4979,5042,2210,211,47579
222543AA,7,0,50000,42839,3644,3517,2169,162,47669
222543AA,8,0,50000,44248,2431,3321,2109,164,47727
222543AA,9,0,50000,43627,4231,2142,2291,98,47611
222543AA,K,0,50000,27438,18696,3866,2155,128,47717
222543AA,A,0,50000,23138,6537,20325,665,492,48843
22254A2A,3,0,50000,31399,6317,12284,1797,284,47919
22254A2A,4,0,50000,32188,5380,12432,1656,273,48071
22254A2A,5,0,50000,33910,5644,10446,1827,209,47964
22254A2A,6,0,50000,34491,5774,9735,1883,235,47882
22254A2A,7,0,50000,39736,2688,7576,1899,185,47916
22254A2A,8,0,50000,39607,4560,5833,1988,125,47887
22254A2A,9,0,50000,23725,20324,5951,2104,153,47743
22254A2A,K,0,50000,21263,6117,22620,1258,908,47834
22254A2A,A,0,50000,16813,6246,26941,531,159,49310
22254A3A,2,0,50000,37639,6219,6142,2057,290,47653
22254A3A,3,0,50000,37752,6286,5962,2006,277,47717
22254A3A,4,0,50000,37720,6142,6138,2071,269,47660
22254A3A,5,0,50000,39227,4851,5922,2079,273,47648
22254A3A,6,0,50000,40015,5039,4946,2153,236,47611
22254A3A,7,0,50000,42708,3751,3541,2171,153,47676
22254A3A,8,0,50000,44071,2504,3425,2171,129,47700
22254A3A,9,0,50000,43600,4174,2226,2229,92,47679
22254A3A,K,0,50000,27302,18817,3881,2160,137,47703
22254A3A,A,0,50000,23389,6440,20171,636,497,48867
22254AA2,3,0,50000,31282,6309,12409,1772,275,47953
22254AA2,4,0,50000,32223,5580,12197,1737,272,47991
22254AA2,5,0,50000,33798,5606,10596,1802,212,47986
22254AA2,6,0,50000,34348,5838,9814,1891,206,47903
22254AA2,7,0,50000,39512,2768,7720,1939,194,47867
22254AA2,8,0,50000,39438,4568,5994,2077,118,47805
22254AA2,9,0,50000,23255,20671,6074,2048,144,47808
22254AA2,K,0,50000,21246,6183,22571,1304,808,47888
22254AA2,A,0,50000,16809,6314,26877,577,155,49268
22254AA3,2,0,50000,37557,6294,6149,2026,268,47706
22254AA3,3,0,50000,37546,6509,5945,2104,287,47609
22254AA3,4,0,50000,37605,6127,6268,2039,261,47700
22254AA3,5,0,50000,39417,4671,5912,2072,303,47625
22254AA3,6,0,50000,40135,5065,4800,2020,251,47729
22254AA3,7,0,50000,42728,3706,3566,2147,178,47675
22254AA3,8,0,50000,44161,2506,3333,2135,141,47724
22254AA3,9,0,50000,43635,4179,2186,2308,109,47583
22254AA3,K,0,50000,27202,18934,3864,2260,131,47609
22254AA3,A,0,50000,23057,6451,20492,693,470,48837
22254AAA,2,0,50000,24611,6480,18909,4726,693,44581
22254AAA,3,0,50000,26070,5644,18286,4780,675,44545
22254AAA,4,0,50000,27830,4688,17482,5651,790,43559
22254AAA,5,0,50000,28278,6182,15540,5644,721,43635
22254AAA,6,0,50000,30284,3698,16018,5926,722,43352
22254AAA,7,0,50000,35271,3815,10914,6123,544,43333
22254AAA,8,0,50000,19391,20680,9929,6260,426,43314
22254AAA,9,0,50000,18931,5108,25961,6089,750,43161
22254AAA,K,0,50000,16503,5685,27812,5502,824,43674
22254AAA,A,0,50000,10615,6114,33271,3304,2040,44656
222552AA,3,0,50000,37696,6446,5858,2045,287,47668
222552AA,4,0,50000,37894,6091,6015,2041,294,47665
222552AA,5,0,50000,40385,3963,5652,2075,293,47632
222552AA,6,0,50000,40420,5547,4033,2105,173,47722
222552AA,7,0,50000,42079,4114,3807,2113,155,47732
222552AA,8,0,50000,44271,2011,3718,2112,167,47721
222552AA,9,0,50000,43995,4295,1710,2318,74,47608
222552AA,K,0,50000,27346,18914,3740,2174,126,47700
222552AA,A,0,50000,23178,6339,20483,684,488,48828
22255A2A,3,0,50000,37716,6415,5869,2057,259,47684
22255A2A,4,0,50000,37730,6068,6202,2058,263,47679
22255A2A,5,0,50000,40505,3943,5552,2006,288,47706
22255A2A,6,0,50000,40443,5708,3849,2104,167,47729
22255A2A,7,0,50000,42172,4024,3804,2107,189,47704
22255A2A,8,0,50000,44167,2197,3636,2174,174,47652
22255A2A,9,0,50000,43954,4305,1741,2251,81,47668
22255A2A,K,0,50000,27312,18978,3710,2223,110,47667
22255A2A,A,0,50000,23252,6319,20429,735,477,48788
22255AA2,3,0,50000,37579,6506,5915,2013,249,47738
22255AA2,4,0,50000,37880,5917,6203,2069,291,47640
22255AA2,5,0,50000,40219,3969,5812,2001,278,47721
22255AA2,6,0,50000,40420,5609,3971,2099,193,47708
22255AA2,7,0,50000,42087,4101,3812,2123,190,47687
22255AA2,8,0,50000,44175,2081,3744,2132,185,47683
22255AA2,9,0,50000,44089,4203,1708,2300,79,47621
22255AA2,K,0,50000,27290,18971,3739,2149,131,47720
22255AA2,A,0,50000,23346,6339,20315,669,471,48860
22255AAA,2,0,50000,30833,7079,12088,885,136,48979
22255AAA,3,0,50000,31394,6375,12231,1931,290,47779
22255AAA,4,0,50000,33295,4894,11811,1883,280,47837
22255AAA,5,0,50000,34441,6015,9544,1942,214,47844
22255AAA,6,0,50000,34301,6085,9614,1973,224,47803
22255AAA,7,0,50000,39149,3124,7727,2035,202,47763
22255AAA,8,0,50000,40203,3434,6363,2093,146,47761
22255AAA,9,0,50000,23970,20760,5270,2171,91,47738
22255AAA,K,0,50000,22053,6229,21718,1827,521,47652
22255AAA,A,0,50000,16860,6218,26922,660,504,48836
22256AAA,2,0,50000,37585,6430,5985,982,139,48879
22256AAA,3,0,50000,37773,6401,5826,986,122,48892
22256AAA,4,0,50000,38857,5167,5976,1053,134,48813
22256AAA,5,0,50000,40814,4278,4908,1065,110,48825
22256AAA,6,0,50000,39645,5593,4762,1051,122,48827
22256AAA,7,0,50000,41958,4266,3776,1058,80,48862
22256AAA,8,0,50000,43575,2624,3801,1007,95,48898
22256AAA,9,0,50000,44525,3214,2261,1063,51,48886
22256AAA,K,0,50000,28059,19161,2780,1124,28,48848
22256AAA,A,0,50000,22959,6537,20504,0,0,50000
2225A233,3,0,50000,37340,6556,6104,3073,464,46463
2225A233,4,0,50000,37239,6404,6357,3022,421,46557
2225A233,5,0,50000,39051,5037,5912,3135,407,46458
2225A233,6,0,50000,39270,5799,4931,3077,343,46580
2225A233,7,0,50000,42602,3376,4022,3223,265,46512
