player_hand,dealer_up_card,total_games,win_standing,push_standing,lost_standing,win_hitting,push_hitting,lost_hitting
222234AA,4,0,50000,21043,5345,23612,6025,935,43040
222234AA,5,0,50000,24855,2757,22388,6857,1085,42058
222234AA,6,0,50000,25926,5381,18693,7297,867,41836
222234AA,7,0,50000,14736,20451,14813,7897,666,41437
222234AA,8,0,50000,13141,6155,30704,7357,1344,41299
222234AA,9,0,50000,12663,5867,31470,7304,693,42003
222234AA,K,0,50000,10231,5369,34400,5840,1873,42287
222234AA,A,0,50000,5605,5249,39146,3828,2026,44146
2222353A,3,0,50000,37541,6554,5905,2960,433,46607
2222353A,4,0,50000,37344,6297,6359,2961,483,46556
2222353A,5,0,50000,38786,5199,6015,3031,427,46542
2222353A,6,0,50000,39435,5699,4866,3119,346,46535
2222353A,7,0,50000,42549,3421,4030,3231,322,46447
2222353A,8,0,50000,44885,2156,2959,3295,234,46471
2222353A,9,0,50000,42731,5494,1775,3374,102,46524
2222353A,K,0,50000,26318,18840,4842,3187,245,46568
2222353A,A,0,50000,22952,6460,20588,1321,952,47727
222235A3,3,0,50000,37472,6459,6069,3079,412,46509
222235A3,4,0,50000,37485,6235,6280,3017,419,46564
222235A3,5,0,50000,38968,5115,5917,3073,414,46513
222235A3,6,0,50000,39152,5880,4968,3072,361,46567
222235A3,7,0,50000,42655,3442,3903,3130,282,46588
222235A3,8,0,50000,44967,2098,2935,3308,208,46484
222235A3,9,0,50000,42880,5396,1724,3416,114,46470
222235A3,K,0,50000,26534,18487,4979,3196,289,46515
222235A3,A,0,50000,23262,6447,20291,1385,932,47683
222235AA,3,0,50000,25726,5771,18503,3460,535,46005
222235AA,4,0,50000,26402,5698,17900,4504,753,44743
222235AA,5,0,50000,27747,5316,16937,4598,677,44725
222235AA,6,0,50000,31454,2591,15955,4731,616,44653
222235AA,7,0,50000,35028,4468,10504,5048,398,44554
222235AA,8,0,50000,19059,20604,10337,5045,374,44581
222235AA,9,0,50000,18415,4783,26802,4437,1093,44470
222235AA,K,0,50000,15784,5491,28725,4280,559,45161
222235AA,A,0,50000,10771,5997,33232,2448,1620,45932
222236AA,3,0,50000,32243,5481,12276,1777,282,47941
222236AA,4,0,50000,32301,6357,11342,1768,247,47985
