player_hand,dealer_up_card,total_games,win_standing,push_standing,lost_standing,win_hitting,push_hitting,lost_hitting
22223,3,50000,18374,0,31626,30805,4311,14884
22223,4,50000,20668,0,29332,31755,4138,14107
22223,5,50000,23923,0,26077,33349,3846,12805
22223,6,50000,23675,0,26325,34003,3606,12391
22223,7,50000,13807,0,36193,31081,4049,14870
22223,8,50000,12636,0,37364,29351,4132,16517
22223,9,50000,12075,0,37925,27824,3864,18312
22223,K,50000,9959,0,40041,23737,4917,21346
22223,A,50000,6301,0,43699,18169,8315,23516
22224,3,50000,19123,0,30877,17980,2645,29375
22224,4,50000,20711,0,29289,18684,2609,28707
22224,5,50000,23986,0,26014,19863,2302,27835
22224,6,50000,23614,0,26386,20335,2259,27406
22224,7,50000,13785,0,36215,17628,3187,29185
22224,8,50000,12450,0,37550,16069,3209,30722
22224,9,50000,12095,0,37905,14228,3303,32469
22224,K,50000,9949,0,40051,12241,3574,34185
22224,A,50000,6230,0,43770,8849,3816,37335
22225,3,50000,18928,0,31072,16387,2298,31315
22225,4,50000,20761,0,29239,17155,2301,30544
22225,5,50000,24268,0,25732,17961,2012,30027
22225,6,50000,23671,0,26329,18377,2097,29526
22225,7,50000,13379,0,36621,15903,2904,31193
22225,8,50000,12321,0,37679,14638,2760,32602
22225,9,50000,12053,0,37947,14055,3281,32664
22225,K,50000,9646,0,40354,11479,3401,35120
22225,A,50000,6178,0,43822,8426,3677,37897
22226,3,50000,19025,0,30975,14323,2410,33267
22226,4,50000,20613,0,29387,14802,2050,33148
22226,5,50000,23892,0,26108,15556,1935,32509
22226,6,50000,22936,0,27064,15371,2126,32503
22226,7,50000,13387,0,36613,14618,3072,32310
22226,8,50000,12191,0,37809,14021,3251,32728
22226,9,50000,11903,0,38097,12490,3102,34408
22226,K,50000,9842,0,40158,10175,3070,36755
22226,A,50000,6658,0,43342,7618,3675,38707
22227,3,50000,19052,0,30948,13377,1996,34627
22227,4,50000,20498,0,29502,13427,1826,34747
22227,5,50000,22885,0,27115,13651,1766,34583
22227,6,50000,22711,0,27289,14301,1528,34171
22227,7,50000,13276,0,36724,15170,1508,33322
22227,8,50000,12139,0,37861,13917,2720,33363
22227,9,50000,11812,0,38188,12412,2857,34731
22227,K,50000,10215,0,39785,10067,3078,36855
22227,A,50000,6636,0,43364,7711,3266,39023
22228,3,50000,18855,0,31145,10879,1978,37143
22228,4,50000,20066,0,29934,10733,1966,37301
22228,5,50000,23067,0,26933,11059,1653,37288
22228,6,50000,22577,0,27423,12420,1835,35745
22228,7,50000,13164,0,36836,12296,2565,35139
22228,8,50000,12076,0,37924,12261,1575,36164
22228,9,50000,12519,0,37481,10864,2781,36355
22228,K,50000,10160,0,39840,8801,3050,38149
22228,A,50000,6411,0,43589,6588,3174,40238
22229,3,50000,18146,6578,25276,8352,1452,40196
22229,4,50000,19975,5835,24190,8337,1390,40273
22229,5,50000,22860,3390,23750,9511,1548,38941
22229,6,50000,22449,8561,18990,9876,1172,38952
22229,7,50000,12874,19572,17554,10658,1128,38214
22229,8,50000,12462,5351,32187,9646,2151,38203
22229,9,50000,12155,6215,31630,9447,1068,39485
22229,K,50000,10272,5637,34091,7396,2556,40048
22229,A,50000,6292,5745,37963,5493,2658,41849
2222A,3,50000,31525,6305,12170,25104,3745,21151
2222A,4,50000,31674,6283,12043,26192,3662,20146
2222A,5,50000,32591,6402,11007,28012,3312,18676
2222A,6,50000,33320,5772,10908,28529,3323,18148
2222A,7,50000,39145,2913,7942,25939,3656,20405
2222A,8,50000,38350,5665,5985,24009,4370,21621
2222A,9,50000,23195,19509,7296,18824,7603,23573
2222A,K,50000,21232,6125,22643,15477,4107,30416
2222A,A,50000,17445,6472,26083,11380,3542,35078
2222K,3,50000,24710,6501,18789,5609,946,43445
2222K,4,50000,25482,5836,18682,6513,1083,42404
2222K,5,50000,26255,5759,17986,6796,1076,42128
2222K,6,50000,30564,2874,16562,6775,1022,42203
2222K,7,50000,32220,6786,10994,7353,607,42040
2222K,8,50000,18724,18493,12783,7319,819,41862
