player_hand,dealer_up_card,total_games,win_standing,push_standing,lost_standing,win_hitting,push_hitting,lost_hitting
2222333,3,50000,18213,5993,25794,6178,1202,42620
2222333,4,50000,21355,3777,24868,6114,1020,42866
2222333,5,50000,25044,2939,22017,7545,1014,41441
2222333,6,50000,24690,8189,17121,7810,855,41335
2222333,7,50000,14140,20230,15630,8301,903,40796
2222333,8,50000,12966,6002,31032,7173,2119,40708
2222333,9,50000,11908,5589,32503,6955,696,42349
2222333,K,50000,9627,5135,35238,5927,1491,42582
2222333,A,50000,6275,5422,38303,3927,2309,43764
2222334,3,50000,24172,6506,19322,3849,726,45425
2222334,4,50000,25944,4822,19234,4808,882,44310
2222334,5,50000,28268,4244,17488,4819,792,44389
2222334,6,50000,32898,2247,14855,5084,629,44287
2222334,7,50000,34167,6352,9481,5823,399,43778
2222334,8,50000,18837,19654,11509,5778,603,43619
2222334,9,50000,17383,4502,28115,4226,1941,43833
2222334,K,50000,15021,5220,29759,3855,787,45358
2222334,A,50000,11771,5569,32660,2497,1346,46157
2222335,3,50000,31118,6315,12567,3417,624,45959
2222335,4,50000,31362,5856,12782,3401,601,45998
2222335,5,50000,32763,6194,11043,3539,459,46002
2222335,6,50000,35358,4134,10508,3537,503,45960
2222335,7,50000,40379,2351,7270,3895,321,45784
2222335,8,50000,38679,6440,4881,4032,180,45788
2222335,9,50000,22414,19594,7992,3853,478,45669
2222335,K,50000,19956,5731,24313,2354,1735,45911
2222335,A,50000,17255,6204,26541,1588,417,47995
2222336,3,50000,37532,6337,6131,4017,570,45413
2222336,4,50000,38047,5947,6006,3848,584,45568
2222336,5,50000,38827,5915,5258,4060,518,45422
2222336,6,50000,38779,5634,5587,4104,516,45380
2222336,7,50000,42672,3395,3933,4174,388,45438
2222336,8,50000,45040,2131,2829,4368,288,45344
2222336,9,50000,41869,6312,1819,4355,160,45485
2222336,K,50000,25842,18270,5888,4108,456,45436
2222336,A,50000,22914,6754,20332,2047,1391,46562
222233A,3,50000,18647,0,31353,12029,1889,36082
222233A,4,50000,20759,0,29241,12033,1845,36122
222233A,5,50000,24546,0,25454,12867,1486,35647
222233A,6,50000,24781,0,25219,12958,1405,35637
222233A,7,50000,14324,0,35676,14462,1099,34439
222233A,8,50000,13026,0,36974,13887,1892,34221
222233A,9,50000,12431,0,37569,12091,2594,35315
222233A,K,50000,10030,0,39970,9850,2879,37271
222233A,A,50000,6022,0,43978,7045,3211,39744
