player_hand,dealer_up_card,total_games,win_standing,push_standing,lost_standing,win_hitting,push_hitting,lost_hitting
222233,3,50000,18490,0,31510,14118,2346,33536
222233,4,50000,20960,0,29040,14669,2012,33319
222233,5,50000,24617,0,25383,15335,1993,32672
222233,6,50000,23979,0,26021,15992,1806,32202
222233,7,50000,13965,0,36035,15560,2247,32193
222233,8,50000,12869,0,37131,15000,3030,31970
222233,9,50000,12048,0,37952,13087,3142,33771
222233,K,50000,9747,0,40253,10631,3367,36002
222233,A,50000,6327,0,43673,7934,3655,38411
222234,3,50000,18710,0,31290,11880,1956,36164
222234,4,50000,20961,0,29039,12196,1643,36161
222234,5,50000,24569,0,25431,13005,1427,35568
222234,6,50000,24254,0,25746,13375,1248,35377
222234,7,50000,14045,0,35955,14176,1176,34648
222234,8,50000,12499,0,37501,13095,2158,34747
222234,9,50000,11985,0,38015,11932,2320,35748
222234,K,50000,9870,0,40130,9401,2939,37660
222234,A,50000,6193,0,43807,7151,3182,39667
222235,3,50000,18883,0,31117,9353,1836,38811
222235,4,50000,21296,0,28704,9304,1701,38995
222235,5,50000,24849,0,25151,9753,1396,38851
222235,6,50000,24107,0,25893,11244,1602,37154
222235,7,50000,13631,0,36369,10847,2474,36679
222235,8,50000,12507,0,37493,10769,1286,37945
222235,9,50000,12236,0,37764,9493,2518,37989
222235,K,50000,9705,0,40295,7366,2869,39765
222235,A,50000,6218,0,43782,5624,2647,41729
222236,3,50000,19211,6325,24464,7914,1388,40698
222236,4,50000,21121,5116,23763,7841,1289,40870
222236,5,50000,24650,3274,22076,9053,1292,39655
222236,6,50000,23615,8120,18265,9237,1070,39693
222236,7,50000,13579,19891,16530,10201,1052,38747
222236,8,50000,12339,6358,31303,8888,2205,38907
222236,9,50000,11818,5900,32282,8660,1013,40327
222236,K,50000,9400,5486,35114,6992,2211,40797
222236,A,50000,6587,4632,38781,4922,2657,42421
222237,3,50000,25607,6340,18053,4890,800,44310
222237,4,50000,26265,5560,18175,5752,1003,43245
222237,5,50000,27219,4962,17819,5864,914,43222
222237,6,50000,31573,2517,15910,5957,847,43196
222237,7,50000,33431,6462,10107,6576,513,42911
222237,8,50000,18515,19569,11916,6491,633,42876
222237,9,50000,17489,4889,27622,5262,1825,42913
222237,K,50000,14371,5323,30306,4715,923,44362
222237,A,50000,12162,4831,33007,3086,1794,45120
222238,3,50000,31618,6480,11902,3417,551,46032
222238,4,50000,31316,6360,12324,3307,550,46143
222238,5,50000,32081,6398,11521,3360,504,46136
222238,6,50000,33912,4917,11171,3425,483,46092
222238,7,50000,40007,2447,7546,3791,346,45863
222238,8,50000,38037,6706,5257,4002,191,45807
222238,9,50000,22160,19512,8328,3807,528,45665
222238,K,50000,19658,6115,24227,2384,1653,45963
222238,A,50000,17836,5316,26848,1491,441,48068
222239,3,50000,37638,6466,5896,3953,519,45528
222239,4,50000,37510,6327,6163,3880,527,45593
222239,5,50000,38407,5831,5762,3916,542,45542
222239,6,50000,39074,5567,5359,4023,471,45506
222239,7,50000,42431,3727,3842,4133,334,45533
222239,8,50000,44608,2189,3203,4146,323,45531
222239,9,50000,41600,6558,1842,4347,189,45464
222239,K,50000,25711,18153,6136,3939,437,45624
222239,A,50000,24369,5692,19939,1981,1386,46633
22223A,3,50000,18588,0,31412,18069,2750,29181
22223A,4,50000,20623,0,29377,18500,2683,28817
22223A,5,50000,23892,0,26108,19785,2196,28019
22223A,6,50000,23923,0,26077,20275,2252,27473
22223A,7,50000,14070,0,35930,18058,3108,28834
22223A,8,50000,12851,0,37149,16244,3252,30504
22223A,9,50000,12506,0,37494,14578,3234,32188
22223A,K,50000,10205,0,39795,12664,3593,33743
22223A,A,50000,5975,0,44025,8662,3910,37428
222243,3,50000,18952,0,31048,12073,1888,36039
